			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	MondrianGradvonLuttichau.2020	Mondrian Grad von Lüttichau	Dissoziation. Trauma. Rituelle Gewalt : Hinweise für Betroffene und HelferInnen		6 Gewalt; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Disclosure // disclosure; Gewalt // violence; Psychologie // psychology; Psychotherapie // psychotherapy; Täter*in // offender; Trauma // trauma
FALSCH	FALSCH	FALSCH	Wyneken.2015	Moser, Petra; Jürgens, Martin	Kritik der Kindheit		1 Soziale Rahmung; 1.1 Diskurse; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.1 Sexueller Missbrauch	Geschichte // history; Odenwaldschule // Odenwaldschule; Pädosexualität // pedosexuality; Sexueller Missbrauch // sexual abuse; Täter*in // offender
FALSCH	FALSCH	FALSCH	Mosser.2019	Mosser, Peter	Kindesmisshandlung und sexualisierte Gewalt in Institutionen: Ein Vergleich zwischen Kinder- und Jugendheimen und Eliteinternaten	Kindesmisshandlung und -vernachlässigung	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.2.5 IPSE	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Disclosure // disclosure; Kinder // children; Kinderschutz // child protection; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Beier.2018	Beier, Klaus M.	Pädophilie, Hebephilie und sexueller Kindesmissbrauch		3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	jugendliche Täter*innen // youth offenders; Pädosexualität // pedosexuality; Psychotherapie // psychotherapy; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Mosser.2021	Mosser, Peter; Dill, Helga; Hackenschmied, Gerhard; Straus, Florian	Heimkinder zwischen 1949 und 1975 und die Beratungs- und Unterstützungsarbeit		1 Soziale Rahmung; 1.1 Diskurse; 1.4.6 Schicht; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Geschichte // history; Intervention // intervention; Kinder // children; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Pädagogik // pedagogy; Pädagogische Beziehung // pedagogical relationship; Pädagogische Einrichtung // educational facilities; Pädagogische Fachkräfte // pedagogial staff; Recht // law; Runder Tisch // Roundtable; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Muck.2018	Muck, Christoph; Schiller, Eva-Maria; Kärtner, Joscha	Prävention sexualisierter Gewalt im Jugendalter	ZSE (Zeitschrift für Soziologie der Erziehung und Sozialisation)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien	Disclosure // disclosure; Evaluation // evaluation; Forschungsergebnisse // research results; Konzepte, Materialien // concepts; Schule // school; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Muhlhauser.2020	Mühlhäuser, Regina	Sexuelle Gewalt als Kriegswaffe. Zur Entwicklung eines Verständnisses seit den 1970er-Jahren	L'Homme	6 Gewalt; 6.1 Sexueller Missbrauch	Krieg // war; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Muller.2016	Müller, Rabeya	Sexualität im Islam	BZgA Forum	1 Soziale Rahmung; 1.4 Identitäten; 1.4.4 Religion; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Religion // religion; Sexualerziehung // sex ed; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Muller.2016b	Müller, Jürgen L.; Briken, Peer; Rösler, Michael; Fromberger, Peter; Jordan, Kirsten	EFPPP Jahrbuch 2016		8 Forschung; 9 Förderlinie; 9.3.2 Junprof Hamburg	Forschungspraxis // research practice; Täter*in // offender
WAHR	FALSCH	FALSCH	Nay.2019	Nay, Yv E.	Die heterosexuelle Familie als Norm	Sozial Extra (Sozial Extra)	5 Adressat*innen; 5.3 Eltern und Familie; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Familie // family; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Normen // norms; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality; Sozialwissenschaften // social sciences; Stereotype // stereotypes
FALSCH	FALSCH	FALSCH	Neupert.2021	Neupert, André	Kein Platz für „Systemsprenger“ im neuen Kinder- und Jugendstärkungsgesetz? Eine Bewertung mit Hinblick auf die Bedarfe von entkoppelten jungen Menschen	UJ (unsere jugend)	3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche	Grenzen // boundaries; Jugendliche // youth; junge Erwachsene // young adults; Kinder // children; Menschenrechte // human rights; Nähe-Distanz-Regulation // boundary management; Normen // norms; Recht // law; Trauma // trauma
FALSCH	FALSCH	FALSCH	Neu.2017	Neuß, Norbert; Schäfer, Sabrina	Sandkastenliebe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 5 Adressat*innen; 5.1 Kinder	Beziehungsgestaltung // relationships; Emotionen // emotions; Freundschaft // friendship; Kinder // children; Kindertagesstätte // day-care centre; Liebe // love
FALSCH	FALSCH	FALSCH	Nitschke.2019	Nitschke, Jörg	Schützt unsere Kinder!	Sozial Extra	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Diskurs // discourse; Kinder // children; Kindertagesstätte // day-care centre; Sexualisierung // sexualisation; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Nord.2018	Nord, Ilona; Heller, Tim; Mahler, Linda	Sexualität und Intimität	Rpi-Impulse	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Jugendliche // youth; Konzepte, Materialien // concepts; Schule // school; Sexualerziehung // sex ed; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	Beierling.2021	Beierling, Birgit	Der Referentenentwurf zum Kinder- und Jugendstärkungsgesetz und die rechtskreisübergreifende Kooperation am Übergang Schule – Beruf. Eine verbesserte Rolle der Jugendsozialarbeit?	UJ (unsere jugend)	1 Soziale Rahmung; 1.2 Leitlinien; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche	Berufsschule // professional school; Kinder- und Jugendhilfe // child welfare system; Kinderschutz // child protection; Recht // law; Schule // school
FALSCH	FALSCH	FALSCH	Nordt.2019	Nordt, Stephanie; Kugler, Thomas	Queer-inklusives pädagogisches Handeln		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Jugendliche // youth; Kinder- und Jugendhilfe // child welfare system; Konzepte, Materialien // concepts; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Nordt.2020	Nordt, Stephanie; Kugler, Thomas	„Schon in der Kita?“. Sexuelle und geschlechtliche Vielfalt als Themen frühkindlicher Pädagogik	UJ (unsere jugend)	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention	Diversität // diversity; Familie // family; Kinder // children; Kindertagesstätte // day-care centre; Pädagogik // pedagogy; Pädagogische Einrichtung // educational facilities; Queer Theorie // Queer Theory; Queerness // Queerness; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	OCarroll.2018	O'Carroll, Tom	Kindliche Unschuld ist kein Ideal		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	kindliche Sexualität // childhood sexuality; Pädosexualität // pedosexuality; Theorie // theory
FALSCH	FALSCH	FALSCH	Ochmann.2019	Ochmann, Emily	Die Verletzung der Menschenwürde durch sexuelle Gewalt. Physische, psychische und soziale Folgen für betroffene Frauen		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung; 8 Forschung	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Forschungsergebnisse // research results; Forschungsstand // state of research; Frauen // women; Gender Studies // Gender Studies; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Oeffling.2017	Oeffling, Yvonne	Beziehungskiste Jugendarbeit. Nähe & Distanz als wichtiger Aspekt der Prävention sexueller Gewalt	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Sexueller Missbrauch	Jugendarbeit // youth work; Jugendliche // youth; junge Erwachsene // young adults; Nähe-Distanz-Regulation // boundary management; Prävention // prevention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Oppermann.2018	Oppermann, Carolin; Winter, Veronika; Harder, Claudia; Wolff, Mechthild; Schröer, Wolfgang	Lehrbuch Schutzkonzepte in pädagogischen Organisationen		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.3 Ich bin sicher!	Intervention // intervention; Jugendliche // youth; Kinder // children; Prävention // prevention; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Orenstein.2017	Orenstein, Peggy	Girls & Sex		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention	Frauen // women; Gefahrendiskurs // danger narrative; Gender Studies // Gender Studies; Geschichte // history; Geschlechterverhältnis // gender ratio; Gesellschaft // society; Gewalt // violence; Jungen // boys; Macht // power; Mädchen // girls; Männer // men; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Sexualerziehung // sex ed; Sexualethik // sexual ethics; Sexualisierte Gewalt // sexual violence; Sexualisierung // sexualisation; Sexualität // sexuality; Sexualkultur // sexuality culture
FALSCH	FALSCH	FALSCH	Ortland.2016	Ortland, Barbara	Sexuelle Selbstbestimmung von Menschen mit Behinderung		1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Menschen mit Behinderungen // people with disabilities; Selbstbestimmung // agency; Sexualverhalten // sexual behaviour; Sexuelle Belästigung // sexual harassment; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Ortland.2019	Ortland, Barbara	Behinderung und Sexualität		1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Handbuch // handbook; Menschen mit Behinderungen // people with disabilities; Sexualität // sexuality; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	Otken.	Ötken, Pia Lotta	Gewalt an Kindern in der Familie. Ursachen für intrafamiliäre Gewalt		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 5 Adressat*innen; 5.1 Kinder; 5.3 Eltern und Familie; 6 Gewalt; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Bedarfe // needs; Disclosure // disclosure; Eltern // parents; Familie // family; Gewalt // violence; Intervention // intervention; Intimität // intimacy; Prävention // prevention
FALSCH	FALSCH	FALSCH	Bell.2016	Bell, Patricia; Karle, Elke	Sexualisierte Gewalt gegen Kinder und Partnergewalt		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.1 Sexueller Missbrauch	Einzelinterviews // one-on-one interviews; Feminismus // feminism; Forschungsergebnisse // research results; Frauen // women; Gewalt gegen Frauen // violence against women; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Ozkan.2020	Özkan, Gül	Kindesmisshandlung und Gewalt in Familien. Wie Kinder traumatische Ereignisse bewältigen		3 Thematischer Fokus; 3.3 Kinderschutz; 3.4 Intervention; 5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 6.5 Negative Folgen; 6.6 Resilienz	Aufarbeitung // rehabilitation; Bedarfe // needs; Bewältigung // coping; Familie // family; Gewalt // violence; Sexueller Missbrauch // sexual abuse; Trauma // trauma
FALSCH	FALSCH	FALSCH	Palzkill.2018	Palzkill, Birgit	Akzeptanz sexueller Vielfalt und Selbstsicherheit stärken	Pädagogik	1 Soziale Rahmung; 1.4 Identitäten; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Pädagogische Fachkräfte // pedagogial staff; Schule // school; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Pampel.2019	Pampel, Ralf	Wir reden zu wenig!		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien	Forschungsergebnisse // research results; junge Erwachsene // young adults; Kommunikation // communication; Konzepte, Materialien // concepts; Sexualität // sexuality; Sexuelle Bildung // sexuality education; Weiterbildung // further education
FALSCH	FALSCH	FALSCH	Paul.2016	Paul, Christa	Scham nach sexualisierter Gewalt in Kindheit und Jugend als Folge öffentlicher Zuschreibungen	Forum Gemeindepsychologie	1 Soziale Rahmung; 1.1 Diskurse; 1.3 Medien und Technologie; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.5 Negative Folgen	Betroffene sexualisierter Gewalt // sexual assault survivors; Diskurs // discourse; Langzeitfolgen // long-term effect; Scham // shame; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Perko.2020	Perko, Gudrun	Social Justice und Radical Diversity		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 1.4.3 Ethnizität; 1.4.4 Religion; 1.4.5 Behinderungen; 1.4.6 Schicht; 3 Thematischer Fokus; 3.4 Intervention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Diversität // diversity; Forschungsstand // state of research; Gerechtigkeit // justice; Haltung // attitude; Handlungsempfehlungen // guidelines; Kommunikation // communication; Konzepte, Materialien // concepts; Queer Theorie // Queer Theory; Theorie // theory
FALSCH	FALSCH	FALSCH	Petermann.2020	Petermann, Franz; Koglin, Ute	Aggression und Gewalt von Kindern und Jugendlichen		5 Adressat*innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Übergriff, Peergewalt; 6.5 Negative Folgen	Aggression // aggression; Gewalt // violence; Haltung // attitude; Handlungsempfehlungen // guidelines; Jugendliche // youth; Kinder // children; Praxis // practice
FALSCH	FALSCH	FALSCH	Petri.2019	Petri, Annica	Körper, Liebe und Gefühle - Mädchen* nehmen ihren Weg!	Betrifft Mädchen	1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Fachberatungsstelle // specialist counselling; Menschen mit Behinderungen // people with disabilities; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Pfeffer.2017	Pfeffer, Simone	Sozial-emotionale Entwicklung fördern		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.1.10 ReSi	Achtsamkeit // awareness; Aggression // aggression; Emotionen // emotions; Freundschaft // friendship; Kommunikation // communication; Schutzfaktoren // protection factor
FALSCH	FALSCH	FALSCH	Pfeffer.2018b	Pfeffer, Simone; Storck, Christina; Hansen, Jennifer; Feldmann, Julia	Resilienzförderung und Prävention sexualisierter Gewalt in Kitas		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 9 Förderlinie; 9.1.10 ReSi	Evaluation // evaluation; Forschungsergebnisse // research results; Kindertagesstätte // day-care centre; Konzepte, Materialien // concepts; Prävention // prevention; Resilienz // resilience
FALSCH	FALSCH	FALSCH	Pfeifer.2020	Pfeifer, Beate; Eder, Franz	Psychosoziale Prozessbegleitung von gewaltbetroffenen Kindern und Jugendlichen im Strafverfahren	UJ (unsere jugend)	3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 6.4 Disclosure, Aufarbeitung; 6.6 Resilienz	Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Gewalt // violence; Intervention // intervention; Jugendliche // youth; Kinder // children; Recht // law
FALSCH	FALSCH	FALSCH	Bertels.2019	Bertels, Gesa; Quente, Michaela; Kreyerhoff, Astrid-Maria; Wazlawik, Martin	Beratung zu sexualisierter Gewalt und die Geschlechterperspektive	Soziale Passagen	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung; 9 Förderlinie; 9.2.2 BerGe	Betroffene sexualisierter Gewalt // sexual assault survivors; Fachberatungsstelle // specialist counselling; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Pieck.2018	Pieck, Nadine	Gender und Macht in der Sozialen Arbeit	Sozial Extra	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Geschlecht // gender; Soziale Arbeit // Social Work; Theorie // theory
FALSCH	FALSCH	FALSCH	Pietras.2020	Pietras, Laura	#metoo: Sexualität im Fokus einer gesellschaftlichen Debatte	Zeitschrift für Sexualforschung	1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.2 Übergriff, Peergewalt; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Digitale Medien // digital media; Disclosure // disclosure; Diskurs // discourse; Gesellschaft // society; Medien // media; Sexualisierte Gewalt // sexual violence; Sexuelle Belästigung // sexual harassment; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Plafky.2020	Plafky, Christina S.	Fallanalysen und Entscheidungsfindung im Kinderschutz	UJ (unsere jugend)	3 Thematischer Fokus; 3.3 Kinderschutz	Forschungspraxis // research practice; Kinderschutz // child protection; Kindeswohl // child welfare; Konzepte, Materialien // concepts; Praxis // practice
FALSCH	FALSCH	FALSCH	Plagge.2019	Plagge, Lia	Was kann soziale Gruppenarbeit zu Gewaltprävention leisten? Chancen und Grenzen der sozialen Gruppenarbeit		3 Thematischer Fokus; 3.2 Gewaltprävention	Grenzen // boundaries; Gruppendiskussionen // group discussions; Haltung // attitude; Prävention // prevention; Risikofaktoren // risk factors; Schutzfaktoren // protection factor; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Podszus.2020	Podszus, Martin; Fahl, Franziska	„Be Different – so kann LSBT*I*Q-Jugendarbeit verwirklicht werden“.	UJ (unsere jugend)	1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention	Coming out // coming out; Differenz // difference; Diversität // diversity; Gender Studies // Gender Studies; Geschlecht // gender; Geschlechtsidentität // gender Identity; Gesundheit // health; Homosexualität // homosexuality; Intergeschlechtlichkeit // intersexuality; Jugendarbeit // youth work; Kinder- und Jugendhilfe // child welfare system; Pädagogik // pedagogy; Pädagogische Einrichtung // educational facilities; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Selbstbestimmung // agency; Sexualität // sexuality; Sexualkultur // sexuality culture; Soziale Arbeit // Social Work
FALSCH	FALSCH	FALSCH	Pohl.2015	Pohl, Frank G.	Sexuelle und geschlechtliche Vielfalt in einer Schule der Vielfalt	Sozialmagazin	3 Thematischer Fokus; 3.1 Sexualpädagogik	Asexualität // asexuality; Bisexualität // bisexuality; Coming out // coming out; Diskriminierung // discrimination; Diversität // diversity; Homonationalismus // homonationalism; Homosexualität // homosexuality; Intergeschlechtlichkeit // intersexuality; Intersektionalität // intersectionality; Lehrer*innen // Teachers; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Schule // school; Schüler*innen // pupils; Sexuelle Vielfalt // sexual diversity; Trans* // trans*
FALSCH	FALSCH	WAHR	Pohl.2019	Pohl, Rolf	Feindbild Frau		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt	Feminismus // feminism; Heteronormativität // heteronormativity; Männlichkeit // masculinity; Sexualität // sexuality; Theorie // theory
FALSCH	FALSCH	FALSCH	Pollich.2019	Pollich, Daniela; Stewen, Wolfgang; Erdmann, Julia; Meyer, Maike; Mahle, Corinna	Sexuelle Gewalt gegen Frauen		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.4 Disclosure, Aufarbeitung	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Bewältigung // coping; Frauen // women; Gender Studies // Gender Studies; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Geschlechtsidentität // gender Identity; Gewalt in Beziehungen // dating violence; Intervention // intervention; Macht // power; Mädchen // girls; Sexuelle Belästigung // sexual harassment; Sexueller Übergriff // sexual assault; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences; Vergewaltigung // rape
FALSCH	FALSCH	FALSCH	Polutta.2020	Polutta, Andreas	Kooperative Organisations- und Professionsentwicklung in Hochschule und Sozialwesen?		1 Soziale Rahmung; 1.2 Leitlinien; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.5 Hochschule	Curriculum // curriculum; Hochschule, Universität // college, university; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Kooperation // cooperation; Organisationskultur // organisational culture; Pädagogik // pedagogy; Professionalität // professionality; Professionsethik // professional ethics; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences; Weiterbildung // further education
FALSCH	FALSCH	FALSCH	Ponseti.2020	Ponseti, Jorge; Stirn, Aglaja	Die Trans-Konstruktion	Zeitschrift für Sexualforschung	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Homonationalismus // homonationalism; Intergeschlechtlichkeit // intersexuality; Queer Theorie // Queer Theory; Queerness // Queerness; Trans* // trans*
FALSCH	FALSCH	FALSCH	Bertsch.2016	Bertsch, Bianca; Seckinger, Mike	Kooperation im Sinne des Kinderschutzes. Ausgewählte Ergebnisse der Evaluation des BKiSchG	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 5 Adressat*innen; 5.1 Kinder; 8 Forschung	Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare; Kooperation // cooperation; Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff
FALSCH	FALSCH	FALSCH	Pooch.2017	Pooch, Marie-Theres; Kappler, Selina	Datenreport des Monitorings		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.1 Kita; 2.2.4 Stationäre Einrichtung; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Kindertagesstätte // day-care centre; Prävention // prevention; Sexualisierte Gewalt // sexual violence; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Pooch.2016	Pooch, Marie-Theres; Tremel, Inken	So können Schutzkonzepte in Bildungs- und Erziehungseinrichtungen gelingen!		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Poter.2018	Pöter, Jan; Wazlawik, Martin	Bedingungen von sexualisierter Gewalt in pädagogischen Einrichtungen. Ergebnisse eines Reviews von Aufarbeitungsberichten	Neue Praxis	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 8 Forschung; 9 Förderlinie; 9.2.10 SCHUPPS	Aufarbeitung // rehabilitation; Forschungsergebnisse // research results; Forschungsmethoden // research methods; Forschungsstand // state of research; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Pädagogik // pedagogy; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence; Soziale Arbeit // Social Work; Sozialwissenschaften // social sciences
